Date,TickerName,StockPrice,NetEPS,PE
2009-12-31,AAPL,6.33,$0.31,20.48
2010-03-31,AAPL,7.06,$0.36,19.45
2010-06-30,AAPL,7.56,$0.44,17.17
2010-09-30,AAPL,8.53,$0.54,15.76
2010-12-31,AAPL,9.69,$0.64,15.16
2011-03-31,AAPL,10.47,$0.75,13.98
2011-06-30,AAPL,10.09,$0.90,11.18
2011-09-30,AAPL,11.46,$0.99,11.6
2011-12-31,AAPL,12.17,$1.25,9.71
2012-03-31,AAPL,18.02,$1.46,12.3
2012-06-30,AAPL,17.55,$1.52,11.55
2012-09-30,AAPL,20.14,$1.58,12.77
2012-12-31,AAPL,16.14,$1.58,10.25
2013-03-31,AAPL,13.5,$1.50,9.02
2013-06-30,AAPL,12.17,$1.43,8.51
2013-09-30,AAPL,14.73,$1.42,10.41
2013-12-31,AAPL,17.44,$1.44,12.11
2014-03-31,AAPL,16.78,$1.49,11.23
2014-06-30,AAPL,20.45,$1.55,13.21
2014-09-30,AAPL,22.29,$1.61,13.86
2014-12-31,AAPL,24.52,$1.86,13.22
2015-03-31,AAPL,27.75,$2.02,13.72
2015-06-30,AAPL,28.09,$2.17,12.98
2015-09-30,AAPL,24.82,$2.30,10.79
2015-12-31,AAPL,23.78,$2.36,10.1
2016-03-31,AAPL,24.76,$2.25,11.02
2016-06-30,AAPL,21.85,$2.14,10.21
2016-09-30,AAPL,25.98,$2.07,12.56
2016-12-31,AAPL,26.75,$2.09,12.81
2017-03-31,AAPL,33.33,$2.14,15.59
2017-06-30,AAPL,33.55,$2.20,15.25
2017-09-30,AAPL,36.04,$2.30,15.67
2017-12-31,AAPL,39.72,$2.43,16.33
2018-03-31,AAPL,39.54,$2.59,15.26
2018-06-30,AAPL,43.79,$2.76,15.88
2018-09-30,AAPL,53.59,$2.97,18.06
2018-12-31,AAPL,37.58,$3.04,12.36
2019-03-31,AAPL,45.44,$2.97,15.29
2019-06-30,AAPL,47.53,$2.93,16.21
2019-09-30,AAPL,53.99,$2.96,18.22
2019-12-31,AAPL,71.0,$3.17,22.43
2020-03-31,AAPL,61.63,$3.19,19.33
2020-06-30,AAPL,88.65,$3.29,26.97
2020-09-30,AAPL,112.78,$3.26,34.59
2020-12-31,AAPL,129.44,$3.69,35.05
2021-03-31,AAPL,119.34,$4.46,26.79
2021-06-30,AAPL,134.03,$5.11,26.23
2021-09-30,AAPL,138.68,$5.62,24.68
2021-12-31,AAPL,174.29,$6.04,28.86
2022-03-31,AAPL,171.6,$6.16,27.86
2022-06-30,AAPL,134.56,$6.06,22.2
2022-09-30,AAPL,136.21,$6.11,22.29
2022-12-31,AAPL,128.27,$5.89,21.78
2023-03-31,AAPL,163.04,$5.89,27.68
2023-06-30,AAPL,192.05,$5.95,32.28
2023-09-30,AAPL,169.74,$6.12,27.74
2023-12-31,AAPL,191.13,$6.42,29.77
2024-03-31,AAPL,170.45,$6.43,26.51
2024-06-30,AAPL,209.64,$6.57,31.91
2024-09-30,AAPL,232.18,$6.08,38.19
2024-12-31,AAPL,249.82,$6.30,39.65
2025-03-31,AAPL,221.84,$6.42,34.55
2025-07-28,AAPL,213.88,,33.31
2009-12-31,AMZN,6.73,$0.10,66.27
2010-03-31,AMZN,6.79,$0.11,59.55
2010-06-30,AMZN,5.46,$0.12,45.34
2010-09-30,AMZN,7.85,$0.12,63.59
2010-12-31,AMZN,9.0,$0.13,71.15
2011-03-31,AMZN,9.01,$0.12,77.98
2011-06-30,AMZN,10.22,$0.11,90.08
2011-09-30,AMZN,10.81,$0.10,113.81
2011-12-31,AMZN,8.66,$0.07,126.35
2012-03-31,AMZN,10.13,$0.06,167.36
2012-06-30,AMZN,11.42,$0.04,281.91
2012-09-30,AMZN,12.72,$0.00,0.0
2012-12-31,AMZN,12.54,$0.00,0.0
2013-03-31,AMZN,13.32,$-0.01,0.0
2013-06-30,AMZN,13.88,$-0.01,0.0
2013-09-30,AMZN,15.63,$0.01,1116.57
2013-12-31,AMZN,19.94,$0.03,687.57
2014-03-31,AMZN,16.82,$0.03,533.91
2014-06-30,AMZN,16.24,$0.02,854.68
2014-09-30,AMZN,16.12,$-0.02,0.0
2014-12-31,AMZN,15.52,$-0.03,0.0
2015-03-31,AMZN,18.61,$-0.04,0.0
2015-06-30,AMZN,21.7,$-0.02,0.0
2015-09-30,AMZN,25.59,$0.03,741.87
2015-12-31,AMZN,33.79,$0.06,545.07
2016-03-31,AMZN,29.68,$0.12,244.3
2016-06-30,AMZN,35.78,$0.20,178.01
2016-09-30,AMZN,41.87,$0.22,191.6
2016-12-31,AMZN,37.49,$0.25,152.72
2017-03-31,AMZN,44.33,$0.27,166.64
2017-06-30,AMZN,48.4,$0.20,245.69
2017-09-30,AMZN,48.07,$0.20,244.0
2017-12-31,AMZN,58.47,$0.31,190.16
2018-03-31,AMZN,72.37,$0.40,182.28
2018-06-30,AMZN,84.99,$0.63,134.8
2018-09-30,AMZN,100.15,$0.89,112.28
2018-12-31,AMZN,75.1,$1.01,74.61
2019-03-31,AMZN,89.04,$1.20,74.35
2019-06-30,AMZN,94.68,$1.21,78.57
2019-09-30,AMZN,86.8,$1.13,76.88
2019-12-31,AMZN,92.39,$1.15,80.31
2020-03-31,AMZN,97.49,$1.05,93.15
2020-06-30,AMZN,137.94,$1.30,106.07
2020-09-30,AMZN,157.44,$1.71,92.2
2020-12-31,AMZN,162.85,$2.09,77.97
2021-03-31,AMZN,154.7,$2.63,58.88
2021-06-30,AMZN,172.01,$2.87,59.96
2021-09-30,AMZN,164.25,$2.56,64.26
2021-12-31,AMZN,166.72,$3.24,51.47
2022-03-31,AMZN,163.0,$2.07,78.69
2022-06-30,AMZN,106.21,$1.12,95.21
2022-09-30,AMZN,113.0,$1.09,103.72
2022-12-31,AMZN,84.0,$-0.27,0.0
2023-03-31,AMZN,103.29,$0.42,245.93
2023-06-30,AMZN,130.36,$1.27,102.65
2023-09-30,AMZN,127.12,$1.93,65.87
2023-12-31,AMZN,151.94,$2.90,52.39
2024-03-31,AMZN,180.38,$3.57,50.53
2024-06-30,AMZN,193.25,$4.18,46.23
2024-09-30,AMZN,186.33,$4.67,39.9
2024-12-31,AMZN,219.39,$5.53,39.67
2025-03-31,AMZN,190.26,$6.14,30.99
2025-07-28,AMZN,232.79,,37.91
2009-12-31,GOOGL,15.42,$0.51,30.19
2010-03-31,GOOGL,14.11,$0.55,25.65
2010-06-30,GOOGL,11.07,$0.58,19.2
2010-09-30,GOOGL,13.08,$0.62,21.23
2010-12-31,GOOGL,14.78,$0.66,22.45
2011-03-31,GOOGL,14.6,$0.68,21.39
2011-06-30,GOOGL,12.6,$0.73,17.22
2011-09-30,GOOGL,12.81,$0.77,16.6
2011-12-31,GOOGL,16.07,$0.78,20.55
2012-03-31,GOOGL,15.95,$0.83,19.33
2012-06-30,GOOGL,14.43,$0.84,17.11
2012-09-30,GOOGL,18.77,$0.80,23.5
2012-12-31,GOOGL,17.6,$0.81,21.76
2013-03-31,GOOGL,19.76,$0.84,23.57
2013-06-30,GOOGL,21.9,$0.87,25.29
2013-09-30,GOOGL,21.79,$0.92,23.64
2013-12-31,GOOGL,27.88,$0.95,29.24
2014-03-31,GOOGL,27.72,$0.96,28.97
2014-06-30,GOOGL,29.06,$0.97,30.02
2014-09-30,GOOGL,29.25,$0.95,30.67
2014-12-31,GOOGL,26.37,$1.05,25.08
2015-03-31,GOOGL,27.57,$1.06,26.02
2015-06-30,GOOGL,26.84,$1.06,25.41
2015-09-30,GOOGL,31.73,$1.14,27.87
2015-12-31,GOOGL,38.67,$1.15,33.74
2016-03-31,GOOGL,37.92,$1.19,31.94
2016-06-30,GOOGL,34.97,$1.29,27.1
2016-09-30,GOOGL,39.96,$1.37,29.25
2016-12-31,GOOGL,39.39,$1.39,28.3
2017-03-31,GOOGL,42.14,$1.48,28.53
2017-06-30,GOOGL,46.21,$1.38,33.54
2017-09-30,GOOGL,48.4,$1.49,32.4
2017-12-31,GOOGL,52.36,$0.90,58.3
2018-03-31,GOOGL,51.55,$1.18,43.76
2018-06-30,GOOGL,56.12,$1.15,48.61
2018-09-30,GOOGL,59.99,$1.33,45.14
2018-12-31,GOOGL,51.94,$2.19,23.77
2019-03-31,GOOGL,58.49,$1.99,29.34
2019-06-30,GOOGL,53.82,$2.48,21.73
2019-09-30,GOOGL,60.69,$2.33,26.05
2019-12-31,GOOGL,66.57,$2.46,27.07
2020-03-31,GOOGL,57.75,$2.48,23.31
2020-06-30,GOOGL,70.48,$2.27,31.0
2020-09-30,GOOGL,72.84,$2.59,28.15
2020-12-31,GOOGL,87.11,$2.94,29.68
2021-03-31,GOOGL,102.51,$3.76,27.29
2021-06-30,GOOGL,121.36,$4.61,26.31
2021-09-30,GOOGL,132.88,$5.19,25.59
2021-12-31,GOOGL,143.99,$5.61,25.66
2022-03-31,GOOGL,138.24,$5.53,25.01
2022-06-30,GOOGL,108.31,$5.38,20.15
2022-09-30,GOOGL,95.08,$5.04,18.88
2022-12-31,GOOGL,87.7,$4.55,19.27
2023-03-31,GOOGL,103.11,$4.49,22.96
2023-06-30,GOOGL,118.99,$4.72,25.21
2023-09-30,GOOGL,130.08,$5.21,24.97
2023-12-31,GOOGL,138.86,$5.80,23.94
2024-03-31,GOOGL,150.03,$6.52,23.01
2024-06-30,GOOGL,181.27,$6.97,26.01
2024-09-30,GOOGL,165.27,$7.54,21.92
2024-12-31,GOOGL,188.85,$8.05,23.46
2025-03-31,GOOGL,154.45,$8.97,17.22
2025-06-30,GOOGL,176.23,$7.08,24.89
2025-07-28,GOOGL,192.53,,27.19
2013-03-31,META,25.44,$0.02,1272.02
2013-06-30,META,24.74,$0.23,107.58
2013-09-30,META,49.96,$0.42,118.94
2013-12-31,META,54.35,$0.59,92.12
2014-03-31,META,59.91,$0.75,79.88
2014-06-30,META,66.92,$0.92,72.74
2014-09-30,META,78.61,$1.05,74.87
2014-12-31,META,77.59,$1.10,70.54
2015-03-31,META,81.77,$1.03,79.38
2015-06-30,META,85.3,$0.98,87.04
2015-09-30,META,89.41,$0.99,90.31
2015-12-31,META,104.09,$1.28,81.32
2016-03-31,META,113.48,$1.62,70.05
2016-06-30,META,113.66,$2.08,54.64
2016-09-30,META,127.57,$2.59,49.25
2016-12-31,META,114.42,$3.26,35.1
2017-03-31,META,141.28,$3.78,37.37
2017-06-30,META,150.16,$4.39,34.2
2017-09-30,META,169.94,$5.16,32.93
2017-12-31,META,175.5,$5.39,32.56
2018-03-31,META,158.92,$6.04,26.31
2018-06-30,META,193.26,$6.46,29.92
2018-09-30,META,163.56,$6.63,24.67
2018-12-31,META,130.38,$7.57,17.22
2019-03-31,META,165.78,$6.73,24.63
2019-06-30,META,191.95,$5.90,32.53
2019-09-30,META,177.11,$6.26,28.29
2019-12-31,META,204.13,$6.44,31.7
2020-03-31,META,165.89,$7.30,22.72
2020-06-30,META,225.83,$8.19,27.57
2020-09-30,META,260.47,$8.78,29.67
2020-12-31,META,271.67,$10.10,26.9
2021-03-31,META,292.92,$11.69,25.06
2021-06-30,META,345.81,$13.50,25.62
2021-09-30,META,337.54,$14.01,24.09
2021-12-31,META,334.52,$13.80,24.24
2022-03-31,META,221.15,$13.22,16.73
2022-06-30,META,160.37,$12.07,13.29
2022-09-30,META,134.94,$10.49,12.86
2022-12-31,META,119.68,$8.58,13.95
2023-03-31,META,210.78,$8.06,26.15
2023-06-30,META,285.41,$8.58,33.27
2023-09-30,META,298.57,$11.33,26.35
2023-12-31,META,352.03,$14.90,23.63
2024-03-31,META,483.44,$17.41,27.77
2024-06-30,META,502.5,$19.59,25.65
2024-09-30,META,571.03,$21.23,26.9
2024-12-31,META,584.54,$23.92,24.44
2025-03-31,META,575.92,$25.64,22.46
2025-07-28,META,717.63,,27.99
2009-12-31,MSFT,22.84,$1.81,12.62
2010-03-31,MSFT,22.05,$1.93,11.42
2010-06-30,MSFT,17.4,$2.10,8.29
2010-09-30,MSFT,18.62,$2.32,8.02
2010-12-31,MSFT,21.35,$2.35,9.08
2011-03-31,MSFT,19.53,$2.51,7.78
2011-06-30,MSFT,20.13,$2.69,7.48
2011-09-30,MSFT,19.4,$2.75,7.05
2011-12-31,MSFT,20.38,$2.76,7.39
2012-03-31,MSFT,25.5,$2.75,9.27
2012-06-30,MSFT,24.33,$2.00,12.17
2012-09-30,MSFT,23.83,$1.85,12.88
2012-12-31,MSFT,21.56,$1.83,11.78
2013-03-31,MSFT,23.29,$1.95,11.94
2013-06-30,MSFT,28.31,$2.60,10.89
2013-09-30,MSFT,27.47,$2.69,10.21
2013-12-31,MSFT,31.11,$2.71,11.48
2014-03-31,MSFT,34.34,$2.67,12.86
2014-06-30,MSFT,35.19,$2.63,13.38
2014-09-30,MSFT,39.36,$2.55,15.44
2014-12-31,MSFT,39.69,$2.48,16.0
2015-03-31,MSFT,34.99,$2.41,14.52
2015-06-30,MSFT,38.24,$1.46,26.19
2015-09-30,MSFT,38.59,$1.49,25.9
2015-12-31,MSFT,48.69,$1.40,34.78
2016-03-31,MSFT,48.82,$1.26,38.75
2016-06-30,MSFT,45.55,$2.05,22.22
2016-09-30,MSFT,51.59,$2.08,24.8
2016-12-31,MSFT,56.04,$2.12,26.43
2017-03-31,MSFT,59.75,$2.26,26.44
2017-06-30,MSFT,62.89,$2.70,23.29
2017-09-30,MSFT,68.33,$2.94,23.24
2017-12-31,MSFT,78.86,$1.46,54.01
2018-03-31,MSFT,84.54,$1.80,46.96
2018-06-30,MSFT,91.73,$2.11,43.47
2018-09-30,MSFT,106.8,$2.41,44.32
2018-12-31,MSFT,95.26,$4.31,22.1
2019-03-31,MSFT,111.21,$4.50,24.71
2019-06-30,MSFT,126.79,$5.07,25.01
2019-09-30,MSFT,132.02,$5.31,24.86
2019-12-31,MSFT,150.26,$5.74,26.18
2020-03-31,MSFT,150.68,$6.00,25.11
2020-06-30,MSFT,194.98,$5.75,33.91
2020-09-30,MSFT,202.0,$6.19,32.63
2020-12-31,MSFT,214.17,$6.71,31.92
2021-03-31,MSFT,227.55,$7.34,31.0
2021-06-30,MSFT,262.06,$8.05,32.55
2021-09-30,MSFT,273.24,$8.94,30.56
2021-12-31,MSFT,326.56,$9.39,34.78
2022-03-31,MSFT,299.98,$9.58,31.31
2022-06-30,MSFT,250.48,$9.64,25.98
2022-09-30,MSFT,227.62,$9.28,24.53
